Time,Heart Rate,Steps,Phase
00:00:00,74,0,Inactive
00:01:00,74,0,Inactive
00:02:00,75,0,Inactive
00:03:00,76,0,Inactive
00:04:00,76,0,Inactive
00:05:00,77,0,Inactive
00:06:00,76,0,Inactive
00:07:00,76,0,Inactive
00:08:00,77,0,Inactive
00:09:00,78,0,Inactive
00:10:00,79,0,Inactive
00:11:00,79,0,Inactive
00:12:00,81,0,Inactive
00:13:00,82,0,Inactive
00:14:00,82,0,Inactive
00:15:00,83,0,Inactive
00:16:00,83,0,Inactive
00:17:00,84,0,Inactive
00:18:00,83,0,Inactive
00:19:00,83,0,Inactive
00:20:00,84,0,Inactive
00:21:00,87,7,Inactive
00:22:00,75,0,Inactive
00:23:00,78,0,Inactive
00:24:00,78,0,Inactive
00:25:00,79,0,Inactive
00:26:00,78,0,Inactive
00:27:00,80,0,Inactive
00:28:00,80,0,Inactive
00:29:00,80,0,Inactive
00:30:00,80,0,Inactive
00:31:00,79,0,Inactive
00:32:00,80,0,Inactive
00:33:00,77,0,Inactive
00:34:00,78,0,Inactive
00:35:00,79,0,Inactive
00:36:00,79,0,Inactive
00:37:00,81,0,Inactive
00:38:00,81,0,Inactive
00:39:00,81,0,Inactive
00:40:00,80,0,Inactive
00:41:00,80,0,Inactive
00:42:00,81,0,Inactive
00:43:00,82,0,Inactive
00:44:00,81,0,Inactive
00:45:00,82,0,Inactive
00:46:00,82,0,Inactive
00:47:00,82,0,Inactive
00:48:00,82,0,Inactive
00:49:00,82,0,Inactive
00:50:00,82,0,Inactive
00:51:00,81,0,Inactive
00:52:00,82,0,Inactive
00:53:00,82,0,Inactive
00:54:00,82,0,Inactive
00:55:00,82,0,Inactive
00:56:00,81,0,Inactive
00:57:00,81,0,Inactive
00:58:00,81,0,Inactive
00:59:00,82,0,Inactive
01:00:00,82,0,Inactive
01:01:00,82,0,Inactive
01:02:00,88,0,Inactive
01:03:00,81,0,Inactive
01:04:00,82,0,Inactive
01:05:00,78,0,Inactive
01:06:00,79,0,Inactive
01:07:00,79,0,Inactive
01:08:00,80,0,Inactive
01:09:00,84,0,Inactive
01:10:00,76,0,Inactive
01:11:00,76,0,Inactive
01:12:00,78,0,Inactive
01:13:00,78,0,Inactive
01:14:00,79,0,Inactive
01:15:00,80,0,Inactive
01:16:00,80,0,Inactive
01:17:00,73,0,Inactive
