Time,Heart Rate,Steps,Phase
00:05:00,80,19,Inactive
00:07:00,79,0,Inactive
00:08:00,71,0,Inactive
00:09:00,65,0,Inactive
00:10:00,77,11,Inactive
00:11:00,76,22,Inactive
00:12:00,73,71,Active
00:13:00,76,71,Active
00:14:00,80,97,Active
00:15:00,75,29,Inactive
00:16:00,74,31,Inactive
00:17:00,69,0,Inactive
00:18:00,71,0,Inactive
00:19:00,79,8,Inactive
00:20:00,66,0,Inactive
00:21:00,64,0,Inactive
00:22:00,65,0,Inactive
00:23:00,63,0,Inactive
00:24:00,63,0,Inactive
00:25:00,64,0,Inactive
00:26:00,64,0,Inactive
00:27:00,64,0,Inactive
00:28:00,64,0,Inactive
00:29:00,69,0,Inactive
00:30:00,77,0,Inactive
00:31:00,69,0,Inactive
00:32:00,67,0,Inactive
00:33:00,66,0,Inactive
00:34:00,67,0,Inactive
00:35:00,65,0,Inactive
00:36:00,64,0,Inactive
00:37:00,66,0,Inactive
00:38:00,67,0,Inactive
00:39:00,60,0,Inactive
00:40:00,60,0,Inactive
00:41:00,62,0,Inactive
00:42:00,64,0,Inactive
00:43:00,62,0,Inactive
00:44:00,61,0,Inactive
00:45:00,62,0,Inactive
00:46:00,65,0,Inactive
00:47:00,63,0,Inactive
00:48:00,80,0,Inactive
00:49:00,67,0,Inactive
00:50:00,68,0,Inactive
00:51:00,72,0,Inactive
00:52:00,64,0,Inactive
00:53:00,66,0,Inactive
00:54:00,63,0,Inactive
00:55:00,61,0,Inactive
00:56:00,70,0,Inactive
00:57:00,63,0,Inactive
00:58:00,60,0,Inactive
00:59:00,60,0,Inactive
01:00:00,58,0,Inactive
01:01:00,59,0,Inactive
01:02:00,59,0,Inactive
01:03:00,59,0,Inactive
01:04:00,59,0,Inactive
01:05:00,60,0,Inactive
01:06:00,60,0,Inactive
01:07:00,60,0,Inactive
01:08:00,60,0,Inactive
01:09:00,60,0,Inactive
01:10:00,61,0,Inactive
01:11:00,61,0,Inactive
01:12:00,62,0,Inactive
01:13:00,61,0,Inactive
01:14:00,61,0,Inactive
01:15:00,61,0,Inactive
01:16:00,61,0,Inactive
01:17:00,61,0,Inactive
01:18:00,61,0,Inactive
01:19:00,61,0,Inactive
01:20:00,62,0,Inactive
01:21:00,62,0,Inactive
01:22:00,62,0,Inactive
01:23:00,62,0,Inactive
01:24:00,65,0,Inactive
01:25:00,55,0,Inactive
01:26:00,57,0,Inactive
01:27:00,58,0,Inactive
01:28:00,57,0,Inactive
01:29:00,58,0,Inactive
01:30:00,58,0,Inactive
01:31:00,65,0,Inactive
01:32:00,56,0,Inactive
01:33:00,58,0,Inactive
01:34:00,58,0,Inactive
01:35:00,57,0,Inactive
01:36:00,57,0,Inactive
01:37:00,57,0,Inactive
01:38:00,57,0,Inactive
01:39:00,57,0,Inactive
01:40:00,57,0,Inactive
01:41:00,57,0,Inactive
01:42:00,63,0,Inactive
01:43:00,57,0,Inactive
01:44:00,56,0,Inactive
01:45:00,56,0,Inactive
01:46:00,56,0,Inactive
01:47:00,56,0,Inactive
01:48:00,55,0,Inactive
01:49:00,56,0,Inactive
01:50:00,58,0,Inactive
01:51:00,57,0,Inactive
01:52:00,62,0,Inactive
01:53:00,71,0,Inactive
01:54:00,55,0,Inactive
01:55:00,59,0,Inactive
01:56:00,58,0,Inactive
01:57:00,58,0,Inactive
01:58:00,64,0,Inactive
01:59:00,58,0,Inactive
02:00:00,57,0,Inactive
02:01:00,57,0,Inactive
