Time,Heart Rate,Steps,Phase
03:32:00,74,0,Inactive
03:33:00,73,0,Inactive
03:34:00,75,0,Inactive
03:35:00,74,0,Inactive
03:36:00,74,0,Inactive
03:37:00,74,0,Inactive
03:38:00,74,0,Inactive
03:39:00,74,0,Inactive
03:40:00,75,0,Inactive
03:41:00,75,0,Inactive
03:42:00,96,0,Inactive
03:43:00,94,0,Inactive
03:44:00,89,0,Inactive
03:45:00,89,0,Inactive
03:46:00,84,0,Inactive
03:47:00,89,0,Inactive
03:48:00,78,0,Inactive
03:49:00,88,0,Inactive
03:50:00,91,0,Inactive
03:51:00,83,0,Inactive
03:52:00,82,0,Inactive
03:53:00,68,0,Inactive
03:54:00,60,0,Inactive
03:55:00,57,0,Inactive
03:56:00,59,0,Inactive
03:57:00,59,0,Inactive
03:58:00,58,0,Inactive
03:59:00,58,0,Inactive
04:00:00,67,0,Inactive
04:01:00,65,0,Inactive
04:02:00,60,0,Inactive
04:03:00,60,0,Inactive
04:04:00,61,0,Inactive
04:05:00,64,0,Inactive
04:06:00,62,0,Inactive
04:07:00,61,0,Inactive
04:08:00,60,0,Inactive
04:09:00,61,0,Inactive
04:10:00,59,0,Inactive
04:11:00,60,0,Inactive
04:12:00,63,0,Inactive
04:13:00,78,0,Inactive
04:14:00,72,0,Inactive
04:15:00,66,0,Inactive
04:16:00,66,0,Inactive
04:17:00,80,0,Inactive
04:18:00,84,0,Inactive
04:19:00,79,0,Inactive
04:20:00,85,0,Inactive
04:21:00,84,0,Inactive
04:22:00,82,0,Inactive
04:23:00,78,0,Inactive
04:24:00,83,0,Inactive
04:25:00,71,0,Inactive
04:26:00,82,0,Inactive
04:27:00,85,0,Inactive
04:28:00,79,0,Inactive
04:29:00,73,0,Inactive
04:30:00,64,0,Inactive
04:31:00,61,0,Inactive
04:32:00,59,0,Inactive
04:33:00,61,0,Inactive
04:34:00,61,0,Inactive
04:35:00,60,0,Inactive
04:36:00,60,0,Inactive
04:37:00,61,0,Inactive
04:38:00,62,0,Inactive
04:39:00,63,0,Inactive
04:40:00,62,0,Inactive
04:41:00,62,0,Inactive
04:42:00,63,0,Inactive
04:43:00,65,0,Inactive
04:44:00,78,0,Inactive
04:45:00,85,0,Inactive
04:46:00,70,0,Inactive
04:47:00,63,0,Inactive
04:48:00,63,0,Inactive
04:49:00,61,0,Inactive
04:50:00,61,0,Inactive
04:51:00,61,0,Inactive
04:52:00,62,0,Inactive
04:53:00,64,0,Inactive
04:54:00,64,0,Inactive
04:55:00,65,0,Inactive
04:56:00,66,0,Inactive
04:57:00,65,0,Inactive
04:58:00,65,0,Inactive
04:59:00,67,0,Inactive
05:00:00,67,0,Inactive
05:01:00,68,0,Inactive
05:02:00,69,0,Inactive
05:03:00,68,0,Inactive
05:04:00,68,0,Inactive
05:05:00,70,0,Inactive
05:06:00,69,0,Inactive
05:07:00,71,0,Inactive
05:08:00,70,0,Inactive
05:09:00,70,0,Inactive
05:10:00,69,0,Inactive
05:11:00,91,0,Inactive
05:12:00,88,0,Inactive
05:13:00,81,0,Inactive
05:14:00,81,0,Inactive
05:15:00,88,0,Inactive
05:16:00,64,0,Inactive
05:17:00,61,0,Inactive
05:18:00,58,0,Inactive
05:19:00,58,0,Inactive
05:20:00,67,0,Inactive
05:21:00,65,0,Inactive
05:22:00,64,0,Inactive
05:23:00,60,0,Inactive
05:24:00,62,0,Inactive
05:25:00,63,0,Inactive
05:26:00,67,0,Inactive
05:27:00,64,0,Inactive
05:28:00,67,0,Inactive
05:29:00,73,0,Inactive
05:30:00,65,0,Inactive
05:31:00,65,0,Inactive
05:32:00,64,0,Inactive
05:33:00,65,0,Inactive
05:34:00,65,0,Inactive
05:35:00,67,0,Inactive
05:36:00,74,0,Inactive
05:37:00,61,0,Inactive
05:38:00,64,0,Inactive
05:39:00,73,0,Inactive
05:40:00,66,0,Inactive
05:41:00,65,0,Inactive
05:42:00,65,0,Inactive
05:43:00,62,0,Inactive
05:44:00,78,0,Inactive
05:45:00,65,0,Inactive
05:46:00,61,0,Inactive
05:47:00,67,0,Inactive
05:48:00,58,0,Inactive
05:49:00,59,0,Inactive
05:50:00,59,0,Inactive
05:51:00,58,0,Inactive
05:52:00,61,0,Inactive
05:53:00,60,0,Inactive
05:54:00,60,0,Inactive
05:55:00,61,0,Inactive
05:56:00,61,0,Inactive
05:57:00,62,0,Inactive
05:58:00,61,0,Inactive
05:59:00,61,0,Inactive
06:00:00,61,0,Inactive
06:01:00,62,0,Inactive
06:02:00,62,0,Inactive
06:03:00,62,0,Inactive
06:04:00,62,0,Inactive
06:05:00,63,0,Inactive
06:06:00,63,0,Inactive
06:07:00,65,0,Inactive
06:08:00,64,0,Inactive
06:09:00,64,0,Inactive
06:10:00,64,0,Inactive
06:11:00,66,0,Inactive
06:12:00,65,0,Inactive
06:13:00,66,0,Inactive
06:14:00,66,0,Inactive
06:15:00,76,0,Inactive
06:16:00,83,0,Inactive
06:17:00,84,0,Inactive
06:18:00,71,0,Inactive
06:19:00,65,0,Inactive
06:20:00,63,0,Inactive
06:21:00,63,0,Inactive
06:22:00,66,0,Inactive
06:23:00,71,0,Inactive
06:24:00,66,0,Inactive
06:25:00,67,0,Inactive
06:26:00,66,0,Inactive
06:27:00,66,0,Inactive
06:28:00,66,0,Inactive
06:29:00,67,0,Inactive
06:30:00,67,0,Inactive
06:31:00,70,0,Inactive
06:32:00,70,0,Inactive
06:33:00,70,0,Inactive
06:34:00,74,0,Inactive
06:35:00,69,0,Inactive
06:36:00,75,0,Inactive
06:37:00,81,0,Inactive
06:38:00,76,0,Inactive
06:39:00,62,0,Inactive
06:40:00,61,0,Inactive
06:41:00,61,0,Inactive
06:42:00,62,0,Inactive
06:43:00,64,0,Inactive
06:44:00,62,0,Inactive
06:45:00,62,0,Inactive
06:46:00,68,0,Inactive
06:47:00,75,0,Inactive
06:48:00,59,0,Inactive
06:49:00,60,0,Inactive
06:50:00,64,0,Inactive
06:51:00,63,0,Inactive
06:52:00,61,0,Inactive
06:53:00,62,0,Inactive
06:54:00,70,0,Inactive
06:55:00,67,0,Inactive
06:56:00,80,0,Inactive
06:57:00,70,0,Inactive
06:58:00,79,0,Inactive
06:59:00,76,0,Inactive
07:00:00,107,11,Inactive
07:01:00,123,28,Inactive
07:02:00,99,0,Inactive
07:03:00,99,9,Inactive
07:04:00,122,13,Inactive
07:05:00,114,9,Inactive
07:06:00,91,0,Inactive
07:07:00,100,0,Inactive
07:08:00,95,20,Inactive
07:09:00,120,36,Inactive
07:10:00,75,0,Inactive
07:11:00,67,0,Inactive
07:12:00,69,0,Inactive
07:13:00,69,0,Inactive
07:14:00,65,0,Inactive
07:15:00,62,0,Inactive
07:16:00,67,9,Inactive
07:17:00,71,0,Inactive
07:18:00,81,7,Inactive
07:19:00,92,17,Inactive
07:20:00,87,0,Inactive
07:21:00,80,0,Inactive
07:22:00,93,0,Inactive
07:23:00,92,9,Inactive
07:24:00,97,0,Inactive
07:25:00,95,0,Inactive
07:26:00,93,16,Inactive
07:27:00,94,0,Inactive
07:28:00,92,0,Inactive
07:29:00,89,0,Inactive
07:30:00,94,37,Inactive
07:31:00,101,34,Inactive
07:32:00,100,0,Inactive
07:33:00,94,0,Inactive
07:34:00,100,0,Inactive
07:35:00,100,12,Inactive
07:36:00,89,0,Inactive
07:37:00,84,0,Inactive
07:38:00,88,0,Inactive
07:39:00,85,0,Inactive
07:40:00,85,0,Inactive
07:41:00,84,0,Inactive
07:42:00,81,0,Inactive
07:43:00,82,0,Inactive
07:44:00,83,0,Inactive
07:45:00,75,0,Inactive
07:46:00,77,0,Inactive
07:47:00,77,0,Inactive
07:48:00,77,0,Inactive
07:49:00,80,0,Inactive
07:50:00,81,0,Inactive
07:51:00,83,0,Inactive
07:52:00,81,0,Inactive
07:53:00,81,0,Inactive
07:54:00,76,0,Inactive
07:55:00,79,0,Inactive
07:56:00,93,0,Inactive
07:57:00,87,0,Inactive
07:58:00,86,0,Inactive
07:59:00,101,26,Inactive
08:00:00,102,7,Inactive
08:01:00,83,0,Inactive
08:02:00,84,0,Inactive
08:03:00,84,0,Inactive
08:04:00,86,0,Inactive
08:05:00,88,0,Inactive
08:06:00,84,0,Inactive
08:07:00,114,0,Inactive
08:08:00,109,11,Inactive
08:09:00,107,8,Inactive
08:10:00,115,43,Inactive
08:11:00,117,21,Inactive
08:12:00,112,54,Inactive
08:13:00,116,28,Inactive
08:14:00,92,0,Inactive
08:15:00,89,0,Inactive
08:16:00,91,0,Inactive
08:17:00,89,0,Inactive
08:18:00,88,0,Inactive
08:19:00,88,0,Inactive
08:20:00,93,10,Inactive
08:21:00,109,32,Inactive
08:22:00,114,53,Inactive
08:23:00,108,20,Inactive
08:24:00,134,34,Inactive
08:25:00,145,49,Inactive
08:26:00,124,0,Inactive
08:27:00,120,12,Inactive
08:28:00,116,0,Inactive
08:29:00,95,0,Inactive
08:30:00,88,0,Inactive
08:31:00,85,0,Inactive
08:32:00,94,10,Inactive
08:33:00,105,9,Inactive
08:34:00,85,0,Inactive
08:35:00,89,0,Inactive
08:36:00,95,0,Inactive
08:37:00,113,4,Inactive
08:38:00,99,4,Inactive
08:39:00,105,0,Inactive
08:40:00,91,0,Inactive
08:41:00,94,0,Inactive
08:42:00,109,36,Inactive
08:43:00,111,95,Active
08:44:00,120,68,Active
08:45:00,104,34,Inactive
08:46:00,91,7,Inactive
08:47:00,104,107,Active
08:48:00,111,76,Active
08:49:00,93,0,Inactive
08:50:00,104,110,Active
08:51:00,105,90,Active
08:52:00,93,0,Inactive
08:53:00,86,0,Inactive
08:54:00,87,0,Inactive
08:55:00,87,0,Inactive
08:56:00,87,0,Inactive
08:57:00,87,10,Inactive
08:58:00,88,18,Inactive
08:59:00,94,37,Inactive
09:00:00,99,10,Inactive
09:01:00,101,14,Inactive
09:02:00,95,29,Inactive
09:03:00,81,0,Inactive
09:04:00,91,8,Inactive
09:05:00,104,34,Inactive
09:06:00,87,12,Inactive
09:07:00,104,57,Inactive
09:08:00,108,45,Inactive
09:09:00,87,0,Inactive
09:10:00,66,0,Inactive
09:11:00,67,0,Inactive
09:12:00,65,0,Inactive
09:13:00,69,0,Inactive
09:14:00,61,0,Inactive
09:15:00,65,0,Inactive
09:16:00,65,0,Inactive
09:17:00,64,0,Inactive
09:18:00,59,0,Inactive
09:19:00,60,0,Inactive
09:20:00,63,0,Inactive
09:21:00,65,0,Inactive
09:22:00,61,0,Inactive
09:23:00,62,0,Inactive
09:24:00,64,0,Inactive
09:25:00,66,0,Inactive
09:26:00,63,0,Inactive
09:27:00,76,0,Inactive
09:28:00,66,0,Inactive
09:29:00,64,0,Inactive
09:30:00,61,0,Inactive
09:31:00,60,0,Inactive
09:32:00,67,0,Inactive
09:33:00,58,0,Inactive
09:34:00,59,0,Inactive
09:35:00,62,0,Inactive
09:36:00,62,0,Inactive
09:37:00,63,0,Inactive
09:38:00,64,0,Inactive
09:39:00,62,0,Inactive
09:40:00,72,0,Inactive
09:41:00,72,0,Inactive
09:42:00,73,0,Inactive
09:43:00,69,0,Inactive
09:44:00,68,0,Inactive
09:45:00,66,0,Inactive
09:46:00,64,0,Inactive
09:47:00,68,0,Inactive
09:48:00,69,0,Inactive
09:49:00,71,0,Inactive
09:50:00,72,0,Inactive
09:51:00,67,0,Inactive
09:52:00,72,0,Inactive
09:53:00,69,0,Inactive
09:54:00,68,0,Inactive
09:55:00,76,0,Inactive
09:56:00,83,6,Inactive
09:57:00,98,36,Inactive
09:58:00,88,10,Inactive
09:59:00,92,23,Inactive
10:00:00,93,19,Inactive
10:01:00,85,0,Inactive
10:02:00,89,21,Inactive
10:03:00,80,0,Inactive
10:04:00,85,0,Inactive
10:05:00,82,0,Inactive
10:06:00,79,0,Inactive
10:07:00,72,0,Inactive
10:08:00,74,0,Inactive
10:09:00,72,0,Inactive
10:10:00,74,0,Inactive
10:11:00,76,0,Inactive
10:12:00,75,0,Inactive
10:13:00,76,0,Inactive
10:14:00,78,0,Inactive
10:15:00,81,0,Inactive
10:16:00,85,0,Inactive
10:17:00,80,0,Inactive
10:18:00,75,0,Inactive
10:19:00,84,22,Inactive
10:20:00,89,9,Inactive
10:21:00,87,0,Inactive
10:22:00,82,0,Inactive
10:23:00,81,0,Inactive
10:24:00,81,0,Inactive
10:25:00,82,28,Inactive
10:26:00,99,45,Inactive
10:27:00,66,0,Inactive
10:28:00,66,13,Inactive
10:29:00,74,0,Inactive
10:30:00,61,0,Inactive
10:31:00,61,0,Inactive
10:32:00,61,0,Inactive
10:33:00,60,0,Inactive
10:34:00,61,0,Inactive
10:35:00,62,0,Inactive
10:36:00,72,0,Inactive
10:37:00,64,0,Inactive
