Time,Heart Rate,Steps,Phase
00:00:00,65,0,Inactive
00:01:00,64,0,Inactive
00:02:00,65,0,Inactive
00:03:00,64,0,Inactive
00:04:00,64,0,Inactive
00:05:00,63,0,Inactive
00:06:00,63,0,Inactive
00:07:00,64,0,Inactive
00:08:00,64,0,Inactive
00:09:00,64,0,Inactive
00:10:00,97,0,Inactive
00:11:00,102,0,Inactive
00:12:00,113,37,Inactive
00:13:00,114,0,Inactive
00:14:00,116,12,Inactive
00:15:00,134,25,Inactive
00:16:00,102,18,Inactive
00:17:00,87,0,Inactive
00:18:00,82,0,Inactive
00:19:00,81,0,Inactive
00:20:00,70,0,Inactive
00:21:00,65,0,Inactive
00:22:00,64,0,Inactive
00:23:00,60,0,Inactive
00:24:00,61,0,Inactive
00:25:00,59,0,Inactive
00:26:00,61,0,Inactive
00:27:00,62,0,Inactive
00:28:00,62,0,Inactive
00:29:00,62,0,Inactive
00:30:00,73,0,Inactive
00:31:00,63,0,Inactive
00:32:00,62,0,Inactive
00:33:00,82,0,Inactive
00:34:00,63,0,Inactive
00:35:00,57,0,Inactive
00:36:00,55,0,Inactive
00:37:00,55,0,Inactive
00:38:00,55,0,Inactive
00:39:00,57,0,Inactive
00:40:00,59,0,Inactive
00:41:00,58,0,Inactive
00:42:00,58,0,Inactive
00:43:00,60,0,Inactive
00:44:00,62,0,Inactive
00:45:00,61,0,Inactive
00:46:00,62,0,Inactive
00:47:00,62,0,Inactive
00:48:00,63,0,Inactive
00:49:00,63,0,Inactive
00:50:00,62,0,Inactive
00:51:00,62,0,Inactive
00:52:00,63,0,Inactive
00:53:00,63,0,Inactive
00:54:00,63,0,Inactive
00:55:00,73,0,Inactive
00:56:00,85,0,Inactive
00:57:00,90,0,Inactive
00:58:00,88,0,Inactive
00:59:00,81,0,Inactive
01:00:00,95,4,Inactive
01:01:00,109,0,Inactive
01:02:00,118,39,Inactive
01:03:00,81,0,Inactive
01:04:00,74,0,Inactive
01:05:00,67,0,Inactive
01:06:00,60,0,Inactive
01:07:00,74,0,Inactive
01:08:00,69,0,Inactive
01:09:00,59,0,Inactive
01:10:00,58,0,Inactive
01:11:00,57,0,Inactive
01:12:00,57,0,Inactive
01:13:00,56,0,Inactive
01:14:00,58,0,Inactive
01:15:00,57,0,Inactive
01:16:00,57,0,Inactive
01:17:00,57,0,Inactive
01:18:00,56,0,Inactive
01:19:00,60,0,Inactive
01:20:00,64,0,Inactive
01:21:00,54,0,Inactive
01:22:00,70,0,Inactive
01:23:00,83,0,Inactive
01:24:00,78,0,Inactive
01:25:00,77,0,Inactive
01:26:00,85,11,Inactive
01:27:00,102,40,Inactive
01:28:00,106,13,Inactive
01:29:00,105,0,Inactive
01:30:00,114,46,Inactive
01:31:00,120,31,Inactive
01:32:00,67,0,Inactive
01:33:00,64,0,Inactive
01:34:00,66,0,Inactive
01:35:00,61,0,Inactive
01:36:00,58,0,Inactive
01:37:00,57,0,Inactive
01:38:00,55,0,Inactive
01:39:00,56,0,Inactive
01:40:00,56,0,Inactive
01:41:00,59,0,Inactive
01:42:00,60,0,Inactive
01:43:00,61,0,Inactive
01:44:00,61,0,Inactive
01:45:00,62,0,Inactive
01:46:00,63,0,Inactive
01:47:00,69,0,Inactive
01:48:00,59,0,Inactive
01:49:00,63,0,Inactive
01:50:00,64,0,Inactive
01:51:00,70,0,Inactive
01:52:00,65,0,Inactive
01:53:00,59,0,Inactive
01:54:00,59,0,Inactive
01:55:00,60,0,Inactive
01:56:00,61,0,Inactive
01:57:00,63,0,Inactive
01:58:00,64,0,Inactive
01:59:00,64,0,Inactive
02:00:00,65,0,Inactive
02:01:00,63,0,Inactive
02:02:00,65,0,Inactive
02:03:00,69,0,Inactive
02:04:00,64,0,Inactive
02:05:00,66,0,Inactive
02:06:00,66,0,Inactive
02:07:00,65,0,Inactive
02:08:00,69,0,Inactive
02:09:00,81,0,Inactive
02:10:00,83,0,Inactive
02:11:00,70,0,Inactive
02:12:00,65,0,Inactive
02:13:00,61,0,Inactive
02:14:00,60,0,Inactive
02:15:00,60,0,Inactive
02:16:00,70,0,Inactive
02:17:00,82,0,Inactive
02:18:00,77,0,Inactive
02:19:00,70,0,Inactive
02:20:00,61,0,Inactive
02:21:00,58,0,Inactive
02:22:00,60,0,Inactive
02:23:00,59,0,Inactive
02:24:00,72,0,Inactive
02:25:00,75,0,Inactive
02:26:00,77,0,Inactive
02:27:00,77,0,Inactive
02:28:00,68,0,Inactive
02:29:00,64,0,Inactive
02:30:00,85,0,Inactive
02:31:00,79,0,Inactive
02:32:00,72,0,Inactive
02:33:00,70,0,Inactive
02:34:00,74,0,Inactive
02:35:00,63,0,Inactive
02:36:00,72,0,Inactive
02:37:00,69,0,Inactive
02:38:00,69,0,Inactive
02:39:00,61,0,Inactive
02:40:00,58,0,Inactive
02:41:00,68,0,Inactive
02:42:00,60,0,Inactive
02:43:00,60,0,Inactive
02:44:00,62,0,Inactive
02:45:00,61,0,Inactive
02:46:00,64,0,Inactive
02:47:00,66,0,Inactive
02:48:00,63,0,Inactive
02:49:00,64,0,Inactive
02:50:00,69,0,Inactive
02:51:00,75,0,Inactive
02:52:00,70,0,Inactive
02:53:00,69,0,Inactive
02:54:00,71,0,Inactive
02:55:00,72,0,Inactive
02:56:00,70,0,Inactive
02:57:00,64,0,Inactive
02:58:00,66,0,Inactive
02:59:00,63,0,Inactive
03:00:00,65,0,Inactive
03:01:00,66,0,Inactive
03:02:00,65,0,Inactive
03:03:00,65,0,Inactive
03:04:00,66,0,Inactive
03:05:00,64,0,Inactive
03:06:00,66,0,Inactive
03:07:00,65,0,Inactive
03:08:00,65,0,Inactive
03:09:00,66,0,Inactive
03:10:00,67,0,Inactive
03:11:00,67,0,Inactive
03:12:00,68,0,Inactive
03:13:00,68,0,Inactive
03:14:00,67,0,Inactive
03:15:00,67,0,Inactive
03:16:00,68,0,Inactive
03:17:00,69,0,Inactive
03:18:00,70,0,Inactive
03:19:00,70,0,Inactive
03:20:00,70,0,Inactive
03:21:00,70,0,Inactive
03:22:00,70,0,Inactive
03:23:00,70,0,Inactive
03:24:00,69,0,Inactive
03:25:00,84,0,Inactive
03:26:00,69,0,Inactive
03:27:00,73,0,Inactive
03:28:00,69,0,Inactive
03:29:00,71,0,Inactive
03:30:00,59,0,Inactive
03:31:00,57,0,Inactive
03:32:00,59,0,Inactive
03:33:00,61,0,Inactive
03:34:00,62,0,Inactive
03:35:00,62,0,Inactive
03:36:00,63,0,Inactive
03:37:00,65,0,Inactive
03:38:00,65,0,Inactive
03:39:00,65,0,Inactive
03:40:00,66,0,Inactive
03:41:00,67,0,Inactive
03:42:00,66,0,Inactive
03:43:00,66,0,Inactive
03:44:00,66,0,Inactive
03:45:00,67,0,Inactive
03:46:00,67,0,Inactive
03:47:00,67,0,Inactive
03:48:00,66,0,Inactive
03:49:00,68,0,Inactive
03:50:00,67,0,Inactive
03:51:00,78,0,Inactive
03:52:00,80,0,Inactive
03:53:00,77,0,Inactive
03:54:00,77,0,Inactive
03:55:00,82,0,Inactive
03:56:00,81,9,Inactive
03:57:00,67,0,Inactive
03:58:00,61,0,Inactive
03:59:00,59,0,Inactive
04:00:00,59,0,Inactive
04:01:00,60,0,Inactive
04:02:00,61,0,Inactive
04:03:00,64,0,Inactive
04:04:00,67,0,Inactive
04:05:00,65,0,Inactive
04:06:00,62,0,Inactive
04:07:00,71,0,Inactive
04:08:00,56,0,Inactive
04:09:00,59,0,Inactive
04:10:00,60,0,Inactive
04:11:00,60,0,Inactive
04:12:00,62,0,Inactive
04:13:00,63,0,Inactive
04:14:00,65,0,Inactive
04:15:00,67,0,Inactive
04:16:00,77,0,Inactive
04:17:00,65,0,Inactive
04:18:00,82,0,Inactive
04:19:00,66,0,Inactive
04:20:00,78,0,Inactive
04:21:00,76,0,Inactive
04:22:00,63,0,Inactive
04:23:00,61,0,Inactive
04:24:00,59,0,Inactive
04:25:00,56,0,Inactive
04:26:00,55,0,Inactive
04:27:00,55,0,Inactive
04:28:00,57,0,Inactive
04:29:00,58,0,Inactive
04:30:00,60,0,Inactive
04:31:00,61,0,Inactive
04:32:00,61,0,Inactive
04:33:00,60,0,Inactive
04:34:00,61,0,Inactive
04:35:00,63,0,Inactive
04:36:00,62,0,Inactive
04:37:00,62,0,Inactive
04:38:00,75,0,Inactive
04:39:00,72,0,Inactive
04:40:00,79,0,Inactive
04:41:00,80,0,Inactive
